model,accuracy,f1_macro,precision_macro,recall_macro,f1_weighted
LogisticRegression,0.9095238095238095,0.9095019369783746,0.9104119123763216,0.9095238095238095,0.9095019369783747
LinearSVC,0.9083333333333333,0.9083124782720575,0.9086840513730697,0.9083333333333333,0.9083124782720574
ComplementNB,0.8678571428571429,0.8679323831075448,0.8682949539555275,0.8678571428571428,0.8679323831075448
RandomForest,0.8583333333333333,0.8583609881596276,0.8586017850059994,0.8583333333333333,0.8583609881596275
